step,row,col,marker,item
0,0,14,start,
1,1,14,,2
2,2,14,,
3,3,14,,
4,4,14,,
5,4,13,,
6,4,12,,
7,5,12,,
8,6,12,,
9,7,12,,
10,8,12,,
11,9,12,,
12,10,12,,
13,11,12,,
14,12,12,,
15,12,11,,
16,12,10,,
17,12,9,,
18,12,8,,
19,12,7,,
20,12,6,,
21,12,5,,
22,12,4,,
23,13,4,,
24,13,3,,1
25,12,3,,
26,12,4,,
27,12,5,,
28,12,6,,
29,11,6,,
30,11,7,,3
31,10,7,,
32,9,7,,
33,8,7,,
34,7,7,,
35,6,7,,
36,5,7,,
37,4,7,,
38,3,7,,
39,2,7,,
40,2,8,,
41,2,9,,
42,2,10,,
43,2,11,,
44,1,11,,
45,1,12,,
46,1,13,,
47,1,14,,2
48,2,14,,
49,3,14,,
50,4,14,,
51,4,13,,
52,4,12,,
53,5,12,,
54,6,12,,
55,7,12,,
56,7,11,,
57,7,10,,
58,7,9,,
59,8,9,,
60,9,9,,
61,9,8,,
62,9,7,,
63,10,7,,
64,11,7,,3
65,10,7,,
66,9,7,,
67,8,7,,
68,7,7,,
69,7,6,,
70,7,5,,
71,7,4,,
72,7,3,,
73,7,2,,4
74,6,2,,
75,5,2,,
76,4,2,,
77,3,2,,
78,2,2,,
79,2,3,,
80,2,4,,
81,2,5,,
82,2,6,,
83,1,6,,
84,0,6,,
85,0,7,,
86,0,8,,5
87,1,8,,
88,2,8,,
89,3,8,,
90,4,8,,
91,4,7,,
92,5,7,,
93,6,7,,
94,7,7,,
95,8,7,,
96,9,7,,
97,10,7,,
98,11,7,,3
99,12,7,,
100,12,6,,
101,12,5,,
102,12,4,,
103,13,4,,
104,14,4,,
105,14,3,,
106,14,2,,
107,14,1,,
108,14,0,goal,
